key,en,fr
Add CSV,Add CSV,Ajouter CSV
Clear All,Clear All,Tout effacer
No data sources loaded,No data sources loaded,Aucune source de données chargée
Plot Configuration,Plot Configuration,Configuration du graphique
Compartment Orientation:,Compartment Orientation:,Orientation des compartiments :
Add Plot Column,Add Plot Column,Ajouter une colonne de graphique
Preview,Preview,Aperçu
Update Preview,Update Preview,Mettre à jour l'aperçu
Using sample data for preview,Using sample data for preview,Utilisation de données d'exemple pour l'aperçu
Save Configuration,Save Configuration,Enregistrer la configuration
Load Configuration,Load Configuration,Charger la configuration
Generate Traces,Generate Traces,Générer les traces
Select CSV Files,Select CSV Files,Sélectionner les fichiers CSV
"3 sources, 599 holes","3 sources, 599 holes","3 sources, 599 trous"
Plot Column 1,Plot Column 1,Colonne de graphique 1
Plot Type:,Plot Type:,Type de graphique :
Width (pixels):,Width (pixels):,Largeur (pixels) :
Color Map:,Color Map:,Carte de couleurs :
Default,Default,Par défaut
Data Columns:,Data Columns:,Colonnes de données :
Configure,Configure,Configurer
Add Column,Add Column,Ajouter une colonne
Configure Color Map,Configure Color Map,Configurer la carte de couleurs
Presets,Presets,Préréglages
Select Preset:,Select Preset:,Sélectionner un préréglage :
Load,Load,Charger
Type:,Type:,Type :
Category Colors:,Category Colors:,Couleurs des catégories :
Choose Color,Choose Color,Choisir la couleur
Add Category,Add Category,Ajouter une catégorie
Default Color (unmatched values):,Default Color (unmatched values):,Couleur par défaut (valeurs non correspondantes) :
Null/Missing Value Color:,Null/Missing Value Color:,Couleur pour valeurs nulles/manquantes :
Save as Preset,Save as Preset,Enregistrer comme préréglage
Existing Register Found,Existing Register Found,Registre Existant Trouvé
A register already exists in this location with:,A register already exists in this location with:,Un registre existe déjà à cet emplacement avec :
Excel file,Excel file,Fichier Excel
compartment records,compartment records,enregistrements de compartiments
original image records,original image records,enregistrements d'images originales
Do you want to create a new register in a different location?,Do you want to create a new register in a different location?,Voulez-vous créer un nouveau registre dans un emplacement différent ?
The following items already exist in this location:,The following items already exist in this location:,Les éléments suivants existent déjà à cet emplacement :
Excel register file,Excel register file,Fichier de registre Excel
Compartment data,Compartment data,Données de compartiments
Original image data,Original image data,Données d'images originales
Register data folder,Register data folder,Dossier de données du registre
Creating a new register will overwrite these files.,Creating a new register will overwrite these files.,Créer un nouveau registre écrasera ces fichiers.
Do you want to continue?,Do you want to continue?,Voulez-vous continuer ?
Overwrite Existing Register?,Overwrite Existing Register?,Écraser le Registre Existant ?
Overwrite,Overwrite,Écraser
Create Backup?,Create Backup?,Créer une Sauvegarde ?
Would you like to create a backup of the existing register before overwriting?,Would you like to create a backup of the existing register before overwriting?,Souhaitez-vous créer une sauvegarde du registre existant avant d'écraser ?
Backup Complete,Backup Complete,Sauvegarde Terminée
Register backup created in:,Register backup created in:,Sauvegarde du registre créée dans :
Backup Error,Backup Error,Erreur de Sauvegarde
Could not create backup:,Could not create backup:,Impossible de créer la sauvegarde :
Welcome to GeoVue,Welcome to GeoVue,Bienvenue à GeoVue
GeoVue,GeoVue,GeoVue
Shared Folder Settings,Shared Folder Settings, Paramètres du dossier partagé
Create New Register,Create New Register, Créer un nouveau registre
Validate Register,Validate Register, Valider le registre
Logging Review,Logging Review, Revue du journal
No images to review and all files are synchronized.,No images to review and all files are synchronized., Aucune image à examiner -  tous les fichiers sont synchronisés.
Sample Type: Dry,Sample Type: Dry, Type d’échantillon : Sec
Sample Type: Wet,Sample Type: Wet, Type d’échantillon : Humide
Validating Register,Validating Register, Validation du registre
Initializing validation...,Initializing validation..., Initialisation de la validation...
Validation Complete,Validation Complete, Validation terminée
Files checked and register updated:,Files checked and register updated:, Fichiers vérifiés et registre mis à jour :
Missing compartment images:,Missing compartment images:, Images de compartiments manquantes :
Missing original images:,Missing original images:, Images originales manquantes :
New compartments found:,New compartments found:, Nouveaux compartiments trouvés :
Entries have been marked as MISSING_FILE in the register.,Entries have been marked as MISSING_FILE in the register., Des entrées ont été marquées comme MISSING_FILE dans le registre.
These files may have been deleted from the shared folder.,These files may have been deleted from the shared folder., Ces fichiers peuvent avoir été supprimés du dossier partagé.
Validation Results,Validation Results, Résultats de validation
Status Required,Status Required, Statut requis
Please select a status for this compartment before proceeding.,Please select a status for this compartment before proceeding., Veuillez sélectionner un statut pour ce compartiment avant de continuer.
Welcome,Welcome,Bienvenue
Chip Tray Photo Processor,Chip Tray Photo Processor,Processeur de Photos de Carottes
This setup wizard will help you configure the application for first use.,This setup wizard will help you configure the application for first use.,Cet assistant vous aidera à configurer l'application pour la première utilisation.
You'll need to:,You'll need to:,Vous devrez :
Select a local folder where GeoVue will process images,Select a local folder where GeoVue will process images,Sélectionnez un dossier local où GeoVue traitera les images
Select a backup/shared folder (OneDrive or network),Select a backup/shared folder (OneDrive or network),Sélectionnez un dossier de sauvegarde/partagé (OneDrive ou réseau)
Confirm the folder structure creation,Confirm the folder structure creation,Confirmez la création de la structure de dossiers
Click 'Next' to begin.,Click 'Next' to begin.,Cliquez sur 'Suivant' pour commencer.
Local Storage,Local Storage,Stockage local
Select Local Storage Location,Select Local Storage Location,Sélectionnez l'emplacement du stockage local
Select where GeoVue should store and process images on this computer.,Select where GeoVue should store and process images on this computer.,Sélectionnez où GeoVue doit stocker et traiter les images sur cet ordinateur.
The required folder structure will be created automatically.,The required folder structure will be created automatically.,La structure de dossiers requise sera créée automatiquement.
Storage Location,Storage Location,Emplacement de stockage
Local Folder Status,Local Folder Status,Statut du dossier local
Select a folder to check its structure.,Select a folder to check its structure.,Sélectionnez un dossier pour vérifier sa structure.
Backup Storage,Backup Storage,Stockage de sauvegarde
Select Backup/Shared Storage,Select Backup/Shared Storage,Sélectionnez un stockage de sauvegarde/partagé
Select a OneDrive or network folder for backup and sharing.,Select a OneDrive or network folder for backup and sharing.,Sélectionnez un dossier OneDrive ou réseau pour la sauvegarde et le partage.
This allows team collaboration and automatic backup of processed files.,This allows team collaboration and automatic backup of processed files.,Cela permet une collaboration en équipe et une sauvegarde automatique des fichiers traités.
Enable backup/shared storage,Enable backup/shared storage,Activer le stockage de sauvegarde/partagé
Backup Location,Backup Location,Emplacement de sauvegarde
Hint: Look for,Hint: Look for,Indice : Recherchez
Backup Folder Status,Backup Folder Status,Statut du dossier de sauvegarde
Summary,Summary,Résumé
Back,Back,Retour
Next,Next,Suivant
Checking folder,Checking folder,Vérification du dossier
Missing,Missing,Manquant
Empty folder - new structure will be created.,Empty folder - new structure will be created.,Dossier vide - une nouvelle structure sera créée.
Select OneDrive or Network Folder for Backup,Select OneDrive or Network Folder for Backup,Sélectionnez un dossier OneDrive ou réseau pour la sauvegarde
Excel register not found,Excel register not found,Registre Excel introuvable
Configuration Summary,Configuration Summary,Résumé de la configuration
Selected Paths,Selected Paths,Chemins sélectionnés
Backup/Shared Storage,Backup/Shared Storage,Stockage sauvegarde/partagé
Setup Actions,Setup Actions,Actions de configuration
Create local folder structure,Create local folder structure,Créer la structure de dossier local
Create backup folder structure,Create backup folder structure,Créer la structure de dossier de sauvegarde
"Enter hole ID and depth information, then click Continue to Boundaries","Enter hole ID and depth information, then click Continue to Boundaries","Entrez l'identifiant du trou et la profondeur, puis cliquez sur Continuer vers les limites"
Stop Processing,Stop Processing,Arrêter le traitement
"Are you sure you want to stop processing?

No modifications will be made to the current image, and processing of remaining images will be canceled.","Are you sure you want to stop processing?

No modifications will be made to the current image, and processing of remaining images will be canceled.","Êtes-vous sûr de vouloir arrêter le traitement ?

Aucune modification ne sera apportée à l'image actuelle, et le traitement des images restantes sera annulé."
Select a local folder where GeoVue will process images (use the default path!),Select a local folder where GeoVue will process images (use the default path!),Sélectionnez un dossier local où GeoVue traitera les images (utilisez le chemin par défaut !)
Select a SYNCHRONISED shared folder (...Exploration Drilling\03 - Reverse Circulation\Chip Tray Photos),Select a SYNCHRONISED shared folder (...Exploration Drilling\03 - Reverse Circulation\Chip Tray Photos),Sélectionnez un dossier partagé SYNCHRONISÉ (...Exploration Drilling\03 - Circulation Inverse\Photos de Bac à Échantillons)
Confirm. This will create the required folders locally and set the outputs for onedrive correctly.,Confirm. This will create the required folders locally and set the outputs for onedrive correctly.,Confirmez. Cela créera les dossiers requis localement et configurera correctement les sorties pour OneDrive.
[?],[?],[?]
Language changed successfully,Language changed successfully,Langue changée avec succès
Found,Found,Trouvé
Found Excel register,Found Excel register,Fichier Excel d'enregistrement trouvé
Complete folder structure found!,Complete folder structure found!,Structure complète de dossiers trouvée !
Will use existing structure.,Will use existing structure.,Utilisera la structure existante.
Use existing backup folder structure,Use existing backup folder structure,Utiliser la structure de dossier de sauvegarde existante
▲,▲,▲
▼,▼,▼
Place Markers,Place Markers,Placer les repères
Click to place compartment at depth 1m (marker 4),Click to place compartment at depth 1m (marker 4),Cliquez pour placer un compartiment à 1m de profondeur (marqueur 4)
All missing markers have been annotated. Click 'Continue to Adjustment' to proceed.,All missing markers have been annotated. Click 'Continue to Adjustment' to proceed.,Tous les marqueurs manquants ont été annotés. Cliquez sur 'Continuer vers Ajustement' pour continuer.
All markers placed successfully. Click 'Continue to Adjustment' to proceed.,All markers placed successfully. Click 'Continue to Adjustment' to proceed.,Tous les marqueurs ont été placés avec succès. Cliquez sur 'Continuer vers Ajustement' pour continuer.
"Adjust top and bottom boundaries or side heights, then click 'Finish'","Adjust top and bottom boundaries or side heights, then click 'Finish'","Ajustez les limites supérieure et inférieure ou les hauteurs latérales, puis cliquez sur 'Terminer'"
Incomplete Annotations,Incomplete Annotations,Annotations incomplètes
You have 1 compartments left to annotate. Do you want to proceed to boundary adjustment without placing all markers?,You have 1 compartments left to annotate. Do you want to proceed to boundary adjustment without placing all markers?,Il vous reste 1 compartiment à annoter. Voulez-vous continuer vers l'ajustement des limites sans placer tous les marqueurs ?
Proceed,Proceed,Continuer
Stay Here,Stay Here,Rester ici
Full Image Comparison,Full Image Comparison,Comparaison d’image complète
Show Current Image,Show Current Image,Afficher l'image actuelle
Show Existing Original,Show Existing Original,Afficher l’original existant
Metadata Editor,Metadata Editor,Éditeur de métadonnées
Apply Changes,Apply Changes,Appliquer les modifications
Choose an action:,Choose an action:,Choisissez une action :
Replace All,Replace All,Tout remplacer
Existing original image not found,Existing original image not found,Image originale existante non trouvée
Are you sure you want to stop processing?,Are you sure you want to stop processing?,Êtes-vous sûr de vouloir arrêter le traitement ?
QAQC - SB9999 0-20,QAQC - SB9999 0-20,QAQC - SB9999 0-20
Compartment 1/40,Compartment 1/40,Compartiment 1/40
Existing Image,Existing Image,Image existante
New Image,New Image,Nouvelle image
Sample Moisture,Sample Moisture,Humidité de l’échantillon
Keyboard Shortcuts,Keyboard Shortcuts,Raccourcis clavier
"1: Dry | 2: Wet
← → Navigate (after status set)","1: Dry | 2: Wet
← → Navigate (after status set)","1 : Sec | 2 : Humide
← → Naviguer (après définition de l'état)"
Register Data,Register Data,Enregistrer les données
← Previous,← Previous,← Précédent
Next →,Next →,Suivant →
Depth: 0-1m,Depth: 0-1m,Profondeur : 0-1m
Unsaved Changes,Unsaved Changes,Modifications non enregistrées
There are unsaved changes. Save before closing?,There are unsaved changes. Save before closing?,Des modifications n'ont pas été enregistrées. Enregistrer avant de fermer ?
Save & Close,Save & Close,Enregistrer et fermer
Close Without Saving,Close Without Saving,Fermer sans enregistrer
En,En,Fr
Current version,Current version,Version actuelle
Latest version,Latest version,Dernière version
For the update please contact:,For the update please contact:,Pour la mise à jour -  veuillez contacter :
QAQC Review - SB0043,QAQC Review - SB0043,Révision QAQC - SB0043
Existing Wet,Existing Wet,Humide existant
Moisture,Moisture,Humidité
Dry,Dry,Sec
Quality Status,Quality Status,Statut de qualité
Skip,Skip,Ignorer
Existing Unclassified,Existing Unclassified,Non classé existant
Remove,Remove,Supprimer
Existing Dry,Existing Dry,Sec existant
1: OK | 2: Blurry | 3: Damaged | 4: Missing,1: OK | 2: Blurry | 3: Damaged | 4: Missing,1 : OK | 2 : Flou | 3 : Endommagé | 4 : Manquant
"W: Set Wet | D: Set Dry | ← → Navigate""","W: Set Wet | D: Set Dry | ← → Navigate""","W : Définir humide | D : Définir sec | ← → Navigation"""
Save & Continue,Save & Continue,Enregistrer & Continuer
Wet,Wet,Humide
Reason for Rejection,Reason for Rejection,Motif de rejet
Embedding Tool,Embedding Tool,Outil d'embedding
Select Image Folder,Select Image Folder,Sélectionner le dossier d'images
Select Input Columns,Select Input Columns,Sélectionner les colonnes d'entrée
Generate Embeddings,Generate Embeddings,Générer des embeddings
No wet image,No wet image,Pas d'image humide
No current image,No current image,Pas d'image actuelle
No dry image,No dry image,Pas d'image sèche
Unreviewed Compartments,Unreviewed Compartments,Compartiments non révisés
Move to Shared,Move to Shared,Déplacer vers partagé
Keep Local,Keep Local,Conserver en local
There are unreviewed compartments.,There are unreviewed compartments.,Il y a compartiments non révisés.
Would you like to move them to the shared review folder for later processing?,Would you like to move them to the shared review folder for later processing?,Souhaitez-vous les déplacer vers le dossier de révision partagé pour un traitement ultérieur ?
Yes - Move to shared folder for team review,Yes - Move to shared folder for team review,Oui - Déplacer vers le dossier partagé pour la revue d'équipe
No - Keep in local folder (may be lost if not backed up),No - Keep in local folder (may be lost if not backed up),Non - Conserver dans le dossier local (peut être perdu s'il n'est pas sauvegardé)
No image available,No image available,Aucune image disponible
QAQC Review - SB9999,QAQC Review - SB9999,Révision QAQC - SB9999
? Left in local folder: 162 compartments,? Left in local folder: 162 compartments,? Restés dans le dossier local : 162 compartiments
? Left in local folder: 40 compartments,? Left in local folder: 40 compartments,? Restés dans le dossier local : 40 compartiments
? Left in local folder: 1 compartments,? Left in local folder: 1 compartments,? Resté dans le dossier local : 1 compartiment
? Left in local folder: 100 compartments,? Left in local folder: 100 compartments,? Restés dans le dossier local : 100 compartiments
? Reviewed and saved: 1 compartments,? Reviewed and saved: 1 compartments,? Révisé et enregistré : 1 compartiment
? Moved to shared review: 1 compartments,? Moved to shared review: 1 compartments,? Déplacé vers la revue partagée : 1 compartiment
Select,Select,Sélectionner
Wet Brush,Wet Brush,Pinceau humide
Dry Brush,Dry Brush,Pinceau sec
Delete,Delete,Supprimer
Error,Error,Erreur
An error occurred starting the review:,An error occurred starting the review:,Une erreur est survenue lors du démarrage de la révision :
Placed compartment at depth 10m (x=1389),Placed compartment at depth 10m (x=1389),Compartiment placé à 10 m de profondeur (x=1389)
Placed compartment at depth 24m (x=751),Placed compartment at depth 24m (x=751),Compartiment placé à 24 m de profondeur (x=751)
Undid compartment at depth 24m. Please place it again.,Undid compartment at depth 24m. Please place it again.,Placement du compartiment à 24 m annulé. Veuillez le placer à nouveau .
Placed compartment at depth 24m (x=752),Placed compartment at depth 24m (x=752),Compartiment placé à 24 m de profondeur (x=752)
Bad Image,Bad Image,Mauvaise image
Rotate,Rotate,Faire pivoter
Grid Layout,Grid Layout,Disposition en grille
